sample,sin_out,cos_out,dds_ready
0,0,32767,1
1,0,32757,1
2,0,32757,1
3,804,32728,1
4,804,32728,1
5,1608,32678,1
6,2410,32609,1
7,2410,32609,1
8,3212,32521,1
9,4011,32412,1
10,4011,32412,1
11,4808,32285,1
12,5602,32137,1
13,5602,32137,1
14,6393,31971,1
15,6393,31971,1
16,7179,31785,1
17,7962,31580,1
18,7962,31580,1
19,8739,31356,1
20,9512,31113,1
21,9512,31113,1
22,10278,30852,1
23,11039,30571,1
24,11039,30571,1
25,11793,30273,1
26,11793,30273,1
27,12539,29956,1
28,13279,29621,1
29,13279,29621,1
30,14010,29268,1
31,14732,28898,1
32,14732,28898,1
33,15446,28510,1
34,16151,28105,1
35,16151,28105,1
36,16846,27683,1
37,17530,27245,1
38,17530,27245,1
39,18204,26790,1
40,18204,26790,1
41,18868,26319,1
42,19519,25832,1
43,19519,25832,1
44,20159,25329,1
45,20787,24811,1
46,20787,24811,1
47,21403,24279,1
48,22005,23731,1
49,22005,23731,1
50,22594,23170,1
51,22594,23170,1
52,23170,22594,1
53,23731,22005,1
54,23731,22005,1
55,24279,21403,1
56,24811,20787,1
57,24811,20787,1
58,25329,20159,1
59,25832,19519,1
60,25832,19519,1
61,26319,18868,1
62,26790,18204,1
63,26790,18204,1
64,27245,17530,1
65,27245,17530,1
66,27683,16846,1
67,28105,16151,1
68,28105,16151,1
69,28510,15446,1
70,28898,14732,1
71,28898,14732,1
72,29268,14010,1
73,29621,13279,1
74,29621,13279,1
75,29956,12539,1
76,29956,12539,1
77,30273,11793,1
78,30571,11039,1
79,30571,11039,1
80,30852,10278,1
81,31113,9512,1
82,31113,9512,1
83,31356,8739,1
84,31580,7962,1
85,31580,7962,1
86,31785,7179,1
87,31971,6393,1
88,31971,6393,1
89,32137,5602,1
90,32137,5602,1
91,32285,4808,1
92,32412,4011,1
93,32412,4011,1
94,32521,3212,1
95,32609,2410,1
96,32609,2410,1
97,32678,1608,1
98,32728,804,1
99,32728,804,1
100,32757,0,1
101,32757,0,1
102,0,-32757,1
103,804,-32728,1
104,804,-32728,1
105,1608,-32678,1
106,2410,-32609,1
107,2410,-32609,1
108,3212,-32521,1
109,4011,-32412,1
110,4011,-32412,1
111,4808,-32285,1
112,5602,-32137,1
113,5602,-32137,1
114,6393,-31971,1
115,6393,-31971,1
116,7179,-31785,1
117,7962,-31580,1
118,7962,-31580,1
119,8739,-31356,1
120,9512,-31113,1
121,9512,-31113,1
122,10278,-30852,1
123,11039,-30571,1
124,11039,-30571,1
125,11793,-30273,1
126,11793,-30273,1
127,12539,-29956,1
128,13279,-29621,1
129,13279,-29621,1
130,14010,-29268,1
131,14732,-28898,1
132,14732,-28898,1
133,15446,-28510,1
134,16151,-28105,1
135,16151,-28105,1
136,16846,-27683,1
137,17530,-27245,1
138,17530,-27245,1
139,18204,-26790,1
140,18204,-26790,1
141,18868,-26319,1
142,19519,-25832,1
143,19519,-25832,1
144,20159,-25329,1
145,20787,-24811,1
146,20787,-24811,1
147,21403,-24279,1
148,22005,-23731,1
149,22005,-23731,1
150,22594,-23170,1
151,22594,-23170,1
152,23170,-22594,1
153,23731,-22005,1
154,23731,-22005,1
155,24279,-21403,1
156,24811,-20787,1
157,24811,-20787,1
158,25329,-20159,1
159,25832,-19519,1
160,25832,-19519,1
161,26319,-18868,1
162,26790,-18204,1
163,26790,-18204,1
164,27245,-17530,1
165,27245,-17530,1
166,27683,-16846,1
167,28105,-16151,1
168,28105,-16151,1
169,28510,-15446,1
170,28898,-14732,1
171,28898,-14732,1
172,29268,-14010,1
173,29621,-13279,1
174,29621,-13279,1
175,29956,-12539,1
176,29956,-12539,1
177,30273,-11793,1
178,30571,-11039,1
179,30571,-11039,1
180,30852,-10278,1
181,31113,-9512,1
182,31113,-9512,1
183,31356,-8739,1
184,31580,-7962,1
185,31580,-7962,1
186,31785,-7179,1
187,31971,-6393,1
188,31971,-6393,1
189,32137,-5602,1
190,32137,-5602,1
191,32285,-4808,1
192,32412,-4011,1
193,32412,-4011,1
194,32521,-3212,1
195,32609,-2410,1
196,32609,-2410,1
197,32678,-1608,1
198,32728,-804,1
199,32728,-804,1
200,32757,0,1
201,32757,0,1
202,-32757,0,1
203,-32728,-804,1
204,-32728,-804,1
205,-32678,-1608,1
206,-32609,-2410,1
207,-32609,-2410,1
208,-32521,-3212,1
209,-32412,-4011,1
210,-32412,-4011,1
211,-32285,-4808,1
212,-32137,-5602,1
213,-32137,-5602,1
214,-31971,-6393,1
215,-31971,-6393,1
216,-31785,-7179,1
217,-31580,-7962,1
218,-31580,-7962,1
219,-31356,-8739,1
220,-31113,-9512,1
221,-31113,-9512,1
222,-30852,-10278,1
223,-30571,-11039,1
224,-30571,-11039,1
225,-30273,-11793,1
226,-30273,-11793,1
227,-29956,-12539,1
228,-29621,-13279,1
229,-29621,-13279,1
230,-29268,-14010,1
231,-28898,-14732,1
232,-28898,-14732,1
233,-28510,-15446,1
234,-28105,-16151,1
235,-28105,-16151,1
236,-27683,-16846,1
237,-27245,-17530,1
238,-27245,-17530,1
239,-26790,-18204,1
240,-26790,-18204,1
241,-26319,-18868,1
242,-25832,-19519,1
243,-25832,-19519,1
