C4,,C0201,49.480,43.390,0.0,TOP
C5,,C0201,49.520,42.390,0.0,TOP
C7,,C0201,49.510,40.390,0.0,TOP
L9,,L5650M,15.400,31.900,180.0,TOP
L10,,L5650M,40.800,6.200,180.0,TOP
L11,,L5650M,75.800,6.300,0.0,TOP
L12,,L5650M,22.200,91.000,90.0,TOP
L13,,L5650M,29.600,92.700,90.0,TOP
C16,0.1µF,C0201,49.070,44.650,90.0,TOP
C18,0.1µF,C0201,50.570,34.640,180.0,TOP
C20,0.1µF,C0201,55.660,34.540,0.0,TOP
C22,0.1µF,C0201,58.710,34.530,0.0,TOP
C24,0.1µF,C0201,62.130,37.420,0.0,TOP
C26,0.1µF,C0201,61.840,40.650,90.0,TOP
C28,0.1µF,C0201,62.060,43.410,0.0,TOP
C30,0.1µF,C0201,57.710,46.830,0.0,TOP
C32,0.1µF,C0201,54.480,46.900,90.0,TOP
C34,0.1µF,C0201,49.200,38.860,180.0,TOP
C35,0.1µF,C0201,57.210,34.540,0.0,TOP
C36,0.1µF,C0201,61.160,34.740,0.0,TOP
C37,0.1µF,C0201,62.200,38.960,0.0,TOP
C41,0.1µF,C0201,62.260,41.880,0.0,TOP
C42,0.1µF,C0201,61.850,45.250,90.0,TOP
C43,0.1µF,C0201,56.560,46.730,0.0,TOP
C44,0.1µF,C0201,52.330,46.820,180.0,TOP
C64,0.1µF,C0201,46.570,61.000,90.0,TOP
C65,0.1µF,C0201,45.150,61.000,90.0,TOP
C66,0.1µF,C0201,49.110,59.940,90.0,TOP
C67,0.1µF,C0201,47.660,59.940,90.0,TOP
C87,0.1µF,C0201,60.940,61.000,90.0,TOP
C88,0.1µF,C0201,59.440,61.000,90.0,TOP
C90,0.1µF,C0201,63.470,59.910,90.0,TOP
C91,0.1µF,C0201,61.970,59.910,90.0,TOP
C92,0.1µf,C0201,16.930,67.920,180.0,TOP
C2,0.33µF,C0201,31.740,13.520,0.0,TOP
C6,0.33µF,C0201,49.520,41.920,0.0,TOP
C9,0.47µF,C0201,48.760,37.890,90.0,TOP
C10,0.47µF,C0201,48.630,39.420,0.0,TOP
C3,0.47µf,C0201,49.460,45.720,0.0,TOP
R6,0.65k,R0201,16.380,13.370,270.0,TOP
R8,0.65k,R0201,13.860,21.500,90.0,TOP
R10,0.65k,R0201,16.360,21.550,90.0,TOP
R5,0R,R0201,48.020,38.160,0.0,TOP
R14,0R,R0201,51.740,56.170,270.0,TOP
R15,0R,R0201,51.960,55.040,0.0,TOP
R19,0R,R0201,51.620,50.890,0.0,TOP
R20,0R,R0201,50.610,50.880,0.0,TOP
R27,0R,R0201,65.870,56.550,0.0,TOP
R28,0R,R0201,65.900,55.350,0.0,TOP
R32,0R,R0201,65.460,50.900,0.0,TOP
R33,0R,R0201,64.540,50.900,0.0,TOP
L1,1.3nH,L0201,48.800,59.320,0.0,TOP
L2,1.3nH,L0201,46.290,60.400,0.0,TOP
L3,1.3nH,L0201,45.440,60.400,0.0,TOP
L4,1.3nH,L0201,47.950,59.320,0.0,TOP
L5,1.3nH,L0201,60.670,60.400,0.0,TOP
L6,1.3nH,L0201,59.770,60.400,0.0,TOP
L7,1.3nH,L0201,63.170,59.310,0.0,TOP
L8,1.3nH,L0201,62.270,59.310,0.0,TOP
C8,1000pF,C0201,49.510,39.870,0.0,TOP
R1,100R,R0201,61.470,51.110,0.0,TOP
R12,100R,R0201,47.110,51.070,0.0,TOP
R13,100R,R0201,45.110,51.070,0.0,TOP
R26,100R,R0201,59.470,51.160,0.0,TOP
C61,10nF,C0201,53.660,52.040,0.0,TOP
C84,10nF,C0201,68.700,54.960,90.0,TOP
C15,10nF,C0402,86.780,30.160,0.0,TOP
C17,10nF,C0402,64.580,24.270,270.0,TOP
C19,10nF,C0402,52.860,24.270,270.0,TOP
C1,10pF,C0201,48.370,59.910,90.0,TOP
C62,10pF,C0201,49.860,50.620,270.0,TOP
C63,10pF,C0201,45.840,61.000,90.0,TOP
